Identifier (RIC),Company Name,Country of Headquarters,"Company Market Cap
(EUR)","Total Assets
(FY-1, EUR)","Retained Earnings
(FY-1, EUR)","Earnings before Interest & Taxes (EBIT)
(FY-1, EUR)","Total Liabilities
(FY-1, EUR)","Revenue from Business Activities - Total
(FY-1, EUR)","Working Capital
(FY-1, EUR)",Organization Status Code,TRBC Economic Sector Name,Delisted Quote Flag,Issuer Rating,Credit Combined PD (%),Region
MAJG.LJ^D26,Mlinotest dd,Slovenia,27927998.1,62693847,-314968.67,1040027,26270255,57544124,2416226,Act,Consumer Non-Cyclicals,TRUE,,,South
EPIr.AT^A26,Selected Textile Industries Association SA,Greece,6831576.048,75236047.42,-6373547.67,-2111154.49,82001844.85,12601066.26,-56957958.21,Act,Consumer Cyclicals,TRUE,,,South
MYTr.AT^I25,Metlen Energy and Metals SMSA,Greece,7541800085,10668120000,400266446.3,915862000,7575240000,5682956000,2722242000,Act,Utilities,TRUE,BB+,0,South
AKRr.AT^C26,Akritas SA,Greece,29268987.12,51505200,15674730,1924505,39634763,40587907,379658,Act,Basic Materials,TRUE,,,South
LAZr.AT^K25,Domaine Costa Lazaridi SA,Greece,39278088.96,57566388,3523375,4309091,18131649,23100874,9480089,Act,Consumer Non-Cyclicals,TRUE,,,South
GAPV.CY^C19,GAP Vassilopoulos Public Ltd,Cyprus,25575156.42,68263194,2976971,2548039,48637202,68689227,1449115,Act,Industrials,TRUE,,,South
MDKT.ZA^C26,Medika dd,Croatia,138892400,478587000,14520200,23192000,353897000,826324000,49565000,Act,Healthcare,TRUE,,,South
HPDG.ZA^E26,Medora Hoteli i Ljetovalista dd,Croatia,40270875,56430275,2148879,3169439,16553457,11953991,311853,Act,Consumer Cyclicals,TRUE,,,South
AGMT.BEL^F26,Metalac Home Market ad Novi Sad,Republic of Serbia,1365046.522,,,,,,,Act,Consumer Cyclicals,TRUE,,,South
IKRB.BEL^F19,Ikarbus ad Beograd,Republic of Serbia,15221440.05,,,,,,,Act,Industrials,TRUE,,0,South
JDRN.ZA^K11,Jadran dd,Croatia,46375615.87,11133600.4,139734.6019,-332603.0713,4817910.199,19171528.13,1685302.954,Act,Consumer Cyclicals,TRUE,,,South
MITR.BEL^D20,Mitrosrem ad Sremska Mitrovica,Republic of Serbia,33179112.37,54843507.57,571889.3997,721051.9439,4080950.211,7977539.822,7274022.847,Act,Consumer Non-Cyclicals,TRUE,,0,South
ZRKS.SJ^F12,Zrak dd Sarajevo,Bosnia and Herzegovina,2277233.798,,,,,,,Act,Technology,TRUE,,,South
UNFC.BJ^F26,Unis Fabrika Cijevi ad Derventa u stecaju,Bosnia and Herzegovina,,165283078.7,58278.69688,3706254.576,127626823.1,73901527.29,12382547.13,Act,Basic Materials,TRUE,,,South
AGME.MOT^K13,Mesopromet ad Podgorica,Republic of Montenegro,,,,,,,,Act,Consumer Non-Cyclicals,TRUE,,,South
KOGE.MOT^C21,Port of Adria ad Bar,Republic of Montenegro,15806345.85,66389794,-2866581,-24216,35607394,8708934,-10955968,Act,Industrials,TRUE,,0,South
MOCA.MOT^D21,Moraca ad Podgorica,Republic of Montenegro,,,,,,,,Act,Basic Materials,TRUE,,,South
DUKLb.MOT^K17,Duklja ad Podgorica,Republic of Montenegro,23581.01025,,,,,,,Act,Consumer Cyclicals,TRUE,,,South
JARB.MOT^I10,Jadran Riba ad Kotor,Republic of Montenegro,584041.9973,,,,,,,Act,Consumer Non-Cyclicals,TRUE,,,South
STVA.PK^B26,Stevva Corp,Greece,6431.346675,0,-36230.83801,-36230.83801,143609.4756,,-143609.4756,Act,Technology,TRUE,,,South
IGSSq.L^D26,IG Seismic Services PLC,Cyprus,2591008.291,507458456.8,-32362065.09,15169747.38,381927068,278971368.6,-23489423.45,Act,Basic Materials,TRUE,WR,,South
ENER.MI^F26,Enertronica Santerno SpA,Italy,6582997.828,84090144,-2738466,1507291,87516597,32610448,6790183,Act,Energy,TRUE,,,South
MLSMP.EUA^L25,Widech SpA,Italy,,,,,,,,Act,Technology,TRUE,,,South
HIA.MI^C26,Health Italia SpA,Italy,56744220,67443443,1646350,5517200,31448952,35669608,32653809,Act,Healthcare,TRUE,,,South
RMTG.LJ^D26,TAB dd,Slovenia,,,,,,,,Act,Consumer Cyclicals,TRUE,,,South
SZLG.LJ^D26,SZ ZGP Ljubljana dd,Slovenia,,,,,,,,Act,Industrials,TRUE,,,South
ALFG.LJ^D26,Regia Group dd,Slovenia,,,,,,,,Act,Consumer Cyclicals,TRUE,,,South
ELOG.LJ^D26,Elektro Ljubljana dd,Slovenia,,,,,,,,Act,Utilities,TRUE,,,South
EMAG.LJ^D26,Elektro Maribor dd,Slovenia,,,,,,,,Act,Utilities,TRUE,,,South
CULT.MI^F26,Culti Milano SpA,Italy,59124050,23780080,1118947,1847756,15208921,22628876,7140612,Act,Consumer Non-Cyclicals,TRUE,,,South
GGNG.LJ^D26,G G Novo Mesto dd,Slovenia,,,,,,,,Act,Basic Materials,TRUE,,,South
FVIR.MI^L25,Fervi SpA,Italy,41135850,61033000,2906300,5842000,29225000,56419000,23705000,Act,Industrials,TRUE,,0,South
DGV.MI^E26,Digital Value SpA,Italy,297231254.5,752578000,25134669.8,57440000,525790000,814670000,185994000,Act,Technology,TRUE,,,South
FENR.LJ^D26,Fenolit dd,Slovenia,,,,,,,,Act,Basic Materials,TRUE,,,South
AIW.MI^L25,Almawave SpA,Italy,128625113.8,118144000,9292000,8797000,48305000,57491000,23796000,Act,Technology,TRUE,,,South
SPN.MI^A26,Spindox SpA,Italy,77700000,82846413,,2860240,67495855,96813388,6142400,Act,Technology,TRUE,,,South
MIO.MC^J25,Media Investment Optimization SA,Spain,11800000.59,39858463,-2957340,356533,38008462,64636055,-7430737,Act,Consumer Cyclicals,TRUE,,,South
ALA.MI^A26,Ala SpA,Italy,325080000,203383058,5586145,21213825,137833721,229566577,67562565,Act,Industrials,TRUE,,,South
MLGLA.EUA^E25,Glass To Power S.p.a,Italy,464409.6,,,,,,,Act,Healthcare,TRUE,,,South
ALTTU.PA^L25,TaTaTu SpA,Italy,4481978646,157704000,-9348000,-4618000,127673000,113357000,-11311000,Act,Technology,TRUE,,,South
PAL.MI^A26,Palingeo SpA,Italy,47979399.6,68241171,6705640,9417821,44078725,58497148,10184132,Act,Industrials,TRUE,,,South
MOED.MI,Arnoldo Mondadori Editore SpA,Italy,534025791,1137046000,23711000,95010000,819965000,934734000,23690000,Act,Consumer Cyclicals,FALSE,,0,South
CIRI.MI,Cir SpA Compagnie Industriali Riunite,Italy,640454609,2760085000,-11193000,100135000,1689456000,1821084000,244091000,Act,Consumer Cyclicals,FALSE,,0,South
CEMI.MI,Cementir Holding NV,Italy,2366387638,2755724000,158094000,248351000,899340000,1686943000,436861000,Act,Basic Materials,FALSE,,0,South
BES.MI,Bestbe Holding SpA,Italy,595911.6072,11110132,-10226849,-216291,8981265,459514,-2751388,Act,Academic & Educational Services,FALSE,,0.02,South
WBD.MI,Webuild SpA,Italy,2342295608,18249080000,108316042.3,589354000,16299738000,11027232000,844592000,Act,Industrials,FALSE,BB+,0,South
ITMI.MI,Italmobiliare SpA,Italy,1184294066,2416366000,-33213000,123689000,743264000,701370000,333226000,Act,Consumer Non-Cyclicals,FALSE,,0,South
DANI.MI,Danieli & C Officine Meccaniche SpA,Italy,4656609168,7493775000,214765618.4,221943000,4864955000,4218920000,1784900000,Act,Industrials,FALSE,,0,South
TLIT.MI,Telecom Italia SpA,Italy,17169099859,37663000000,-12000000,1787000000,24302000000,13653000000,-2325000000,Act,Technology,FALSE,BB+,0,South
PNNI.MI,Pininfarina SpA,Italy,61761707.21,91326000,-4128000,-3254000,55697000,91145000,326000,Act,Consumer Cyclicals,FALSE,,0,South
RATI.MI,Ratti SpA SB,Italy,31140716.59,112721000,-407000,505000,54675000,85497000,25164000,Act,Consumer Cyclicals,FALSE,,0,South
RECI.MI,Recordati Industria Chimica e Farmaceutica SpA,Italy,10756721562,5134455000,292608000,669235000,3257646000,2341559000,562341000,Act,Healthcare,FALSE,,0,South
SPMI.MI,Saipem SpA,Italy,8319539614,14519000000,-26721835.56,651000000,11995000000,14549000000,1111000000,Act,Energy,FALSE,Ba1,0,South
LDOF.MI,Leonardo SpA,Italy,26709510697,33673000000,895000000,1317000000,23473000000,17763000000,-752000000,Act,Industrials,FALSE,WD,0,South
SGFI.MI,Sogefi SpA,Italy,251338206,751581000,-118269593.6,56810000,444298000,1022277000,15453000,Act,Industrials,FALSE,,0,South
BZU.MI,Buzzi SpA,Italy,8790282482,8688435000,831355000,988636000,2082372000,4313037000,2151982000,Act,Basic Materials,FALSE,,0,South
ZUCI.MI,Vincenzo Zucchi SpA,Italy,2382512.205,161305000,-1929000,8009000,112237000,113885000,29140000,Act,Consumer Cyclicals,FALSE,,0,South
ACX.MC,Acerinox SA,Spain,3892326746,6467183000,70358070,205377000,3892112000,5413128000,2175677000,Act,Basic Materials,FALSE,BBB-,0,South
CIEA.MC,CIE Automotive SA,Spain,3170999999,5960905000,269516000,544306000,4046964000,3960555000,-9128000,Act,Consumer Cyclicals,FALSE,,0,South
AZK.MC,Azkoyen SA,Spain,334553710.3,208586000,9841605.674,25745000,82059000,199049000,43123000,Act,Industrials,FALSE,,0,South
NTGY.MC,Naturgy Energy Group SA,Spain,27038377202,40836000000,566000000,3934000000,29183000000,19267000000,2516000000,Act,Utilities,FALSE,A1,0,South
IDR.MC,Indra Sistemas SA,Spain,8288624542,4955684000,233377399.5,438565000,3640977000,4877046000,359045000,Act,Technology,FALSE,,0,South
ECR.MC,Ercros SA,Spain,316437411.4,699190000,-11657000,-1745000,358033000,667415000,31928000,Act,Basic Materials,FALSE,,0,South
